,Attack,Attacker_Level,Defense,Defender_Level,Attacker_Defender_Value
0,5.0,7.0,5.0,7.0,0.096
1,5.0,7.0,5.0,21.0,0.06857142857142857
2,5.0,7.0,5.0,35.0,0.06
3,5.0,7.0,5.0,49.0,0.05333333333333334
4,5.0,7.0,5.0,63.0,0.04363636363636363
5,5.0,7.0,5.0,77.0,0.04
6,5.0,7.0,5.0,91.0,0.03428571428571429
7,5.0,7.0,5.0,98.0,0.03428571428571429
8,5.0,7.0,41.0,7.0,0.048
9,5.0,7.0,41.0,21.0,0.021818181818181816
10,5.0,7.0,41.0,35.0,0.014545454545454545
11,5.0,7.0,41.0,49.0,0.010666666666666666
12,5.0,7.0,41.0,63.0,0.008571428571428572
13,5.0,7.0,41.0,77.0,0.007058823529411765
14,5.0,7.0,41.0,91.0,0.006075949367088608
15,5.0,7.0,41.0,98.0,0.005647058823529412
16,5.0,7.0,77.0,7.0,0.032
17,5.0,7.0,77.0,21.0,0.012972972972972974
18,5.0,7.0,77.0,35.0,0.008275862068965517
19,5.0,7.0,77.0,49.0,0.006
20,5.0,7.0,77.0,63.0,0.004705882352941177
21,5.0,7.0,77.0,77.0,0.003902439024390244
22,5.0,7.0,77.0,91.0,0.003310344827586207
23,5.0,7.0,77.0,98.0,0.003096774193548387
24,5.0,7.0,113.0,7.0,0.024
25,5.0,7.0,113.0,21.0,0.009230769230769232
26,5.0,7.0,113.0,35.0,0.005714285714285714
27,5.0,7.0,113.0,49.0,0.0041739130434782605
28,5.0,7.0,113.0,63.0,0.00326530612244898
29,5.0,7.0,113.0,77.0,0.002681564245810056
30,5.0,7.0,113.0,91.0,0.0022857142857142855
31,5.0,7.0,113.0,98.0,0.0021238938053097347
32,5.0,7.0,149.0,7.0,0.019200000000000002
33,5.0,7.0,149.0,21.0,0.007164179104477611
34,5.0,7.0,149.0,35.0,0.004403669724770643
35,5.0,7.0,149.0,49.0,0.003178807947019868
36,5.0,7.0,149.0,63.0,0.0025
37,5.0,7.0,149.0,77.0,0.0020512820512820513
38,5.0,7.0,149.0,91.0,0.0017391304347826088
39,5.0,7.0,149.0,98.0,0.0016161616161616162
40,5.0,7.0,185.0,7.0,0.016
