,Attack,Attacker_Level,Power,Defense,Defender_Level,Damage
0,5.0,7.0,10.0,5.0,7.0,3
1,5.0,7.0,10.0,5.0,28.0,3
2,5.0,7.0,10.0,5.0,49.0,3
3,5.0,7.0,10.0,5.0,77.0,2
4,5.0,7.0,10.0,5.0,98.0,2
5,5.0,7.0,10.0,59.0,7.0,2
6,5.0,7.0,10.0,59.0,28.0,2
7,5.0,7.0,10.0,59.0,49.0,2
8,5.0,7.0,10.0,59.0,77.0,2
9,5.0,7.0,10.0,59.0,98.0,2
10,5.0,7.0,10.0,113.0,7.0,2
11,5.0,7.0,10.0,113.0,28.0,2
12,5.0,7.0,10.0,113.0,49.0,2
13,5.0,7.0,10.0,113.0,77.0,2
14,5.0,7.0,10.0,113.0,98.0,2
15,5.0,7.0,10.0,185.0,7.0,2
16,5.0,7.0,10.0,185.0,28.0,2
17,5.0,7.0,10.0,185.0,49.0,2
18,5.0,7.0,10.0,185.0,77.0,2
19,5.0,7.0,10.0,185.0,98.0,2
20,5.0,7.0,10.0,239.0,7.0,2
21,5.0,7.0,10.0,239.0,28.0,2
22,5.0,7.0,10.0,239.0,49.0,2
23,5.0,7.0,10.0,239.0,77.0,2
24,5.0,7.0,10.0,239.0,98.0,2
25,5.0,7.0,30.0,5.0,7.0,5
26,5.0,7.0,30.0,5.0,28.0,4
27,5.0,7.0,30.0,5.0,49.0,4
28,5.0,7.0,30.0,5.0,77.0,3
29,5.0,7.0,30.0,5.0,98.0,3
30,5.0,7.0,30.0,59.0,7.0,3
31,5.0,7.0,30.0,59.0,28.0,2
32,5.0,7.0,30.0,59.0,49.0,2
33,5.0,7.0,30.0,59.0,77.0,2
34,5.0,7.0,30.0,59.0,98.0,2
35,5.0,7.0,30.0,113.0,7.0,3
36,5.0,7.0,30.0,113.0,28.0,2
37,5.0,7.0,30.0,113.0,49.0,2
38,5.0,7.0,30.0,113.0,77.0,2
39,5.0,7.0,30.0,113.0,98.0,2
40,5.0,7.0,30.0,185.0,7.0,2
41,5.0,7.0,30.0,185.0,28.0,2
42,5.0,7.0,30.0,185.0,49.0,2
43,5.0,7.0,30.0,185.0,77.0,2
44,5.0,7.0,30.0,185.0,98.0,2
45,5.0,7.0,30.0,239.0,7.0,2
46,5.0,7.0,30.0,239.0,28.0,2
47,5.0,7.0,30.0,239.0,49.0,2
48,5.0,7.0,30.0,239.0,77.0,2
49,5.0,7.0,30.0,239.0,98.0,2
50,5.0,7.0,50.0,5.0,7.0,7
51,5.0,7.0,50.0,5.0,28.0,5
52,5.0,7.0,50.0,5.0,49.0,5
53,5.0,7.0,50.0,5.0,77.0,4
54,5.0,7.0,50.0,5.0,98.0,4
55,5.0,7.0,50.0,59.0,7.0,4
56,5.0,7.0,50.0,59.0,28.0,3
57,5.0,7.0,50.0,59.0,49.0,2
58,5.0,7.0,50.0,59.0,77.0,2
59,5.0,7.0,50.0,59.0,98.0,2
60,5.0,7.0,50.0,113.0,7.0,3
61,5.0,7.0,50.0,113.0,28.0,2
62,5.0,7.0,50.0,113.0,49.0,2
63,5.0,7.0,50.0,113.0,77.0,2
64,5.0,7.0,50.0,113.0,98.0,2
65,5.0,7.0,50.0,185.0,7.0,3
66,5.0,7.0,50.0,185.0,28.0,2
67,5.0,7.0,50.0,185.0,49.0,2
68,5.0,7.0,50.0,185.0,77.0,2
69,5.0,7.0,50.0,185.0,98.0,2
70,5.0,7.0,50.0,239.0,7.0,3
71,5.0,7.0,50.0,239.0,28.0,2
72,5.0,7.0,50.0,239.0,49.0,2
73,5.0,7.0,50.0,239.0,77.0,2
74,5.0,7.0,50.0,239.0,98.0,2
75,5.0,7.0,70.0,5.0,7.0,9
76,5.0,7.0,70.0,5.0,28.0,7
77,5.0,7.0,70.0,5.0,49.0,6
78,5.0,7.0,70.0,5.0,77.0,5
79,5.0,7.0,70.0,5.0,98.0,4
80,5.0,7.0,70.0,59.0,7.0,5
81,5.0,7.0,70.0,59.0,28.0,3
82,5.0,7.0,70.0,59.0,49.0,3
83,5.0,7.0,70.0,59.0,77.0,2
84,5.0,7.0,70.0,59.0,98.0,2
85,5.0,7.0,70.0,113.0,7.0,4
86,5.0,7.0,70.0,113.0,28.0,2
87,5.0,7.0,70.0,113.0,49.0,2
88,5.0,7.0,70.0,113.0,77.0,2
89,5.0,7.0,70.0,113.0,98.0,2
90,5.0,7.0,70.0,185.0,7.0,3
91,5.0,7.0,70.0,185.0,28.0,2
92,5.0,7.0,70.0,185.0,49.0,2
93,5.0,7.0,70.0,185.0,77.0,2
94,5.0,7.0,70.0,185.0,98.0,2
95,5.0,7.0,70.0,239.0,7.0,3
96,5.0,7.0,70.0,239.0,28.0,2
97,5.0,7.0,70.0,239.0,49.0,2
98,5.0,7.0,70.0,239.0,77.0,2
99,5.0,7.0,70.0,239.0,98.0,2
100,5.0,7.0,90.0,5.0,7.0,11
101,5.0,7.0,90.0,5.0,28.0,8
102,5.0,7.0,90.0,5.0,49.0,7
103,5.0,7.0,90.0,5.0,77.0,6
104,5.0,7.0,90.0,5.0,98.0,5
105,5.0,7.0,90.0,59.0,7.0,5
106,5.0,7.0,90.0,59.0,28.0,3
107,5.0,7.0,90.0,59.0,49.0,3
108,5.0,7.0,90.0,59.0,77.0,2
109,5.0,7.0,90.0,59.0,98.0,2
110,5.0,7.0,90.0,113.0,7.0,4
111,5.0,7.0,90.0,113.0,28.0,3
112,5.0,7.0,90.0,113.0,49.0,2
113,5.0,7.0,90.0,113.0,77.0,2
114,5.0,7.0,90.0,113.0,98.0,2
115,5.0,7.0,90.0,185.0,7.0,3
116,5.0,7.0,90.0,185.0,28.0,2
117,5.0,7.0,90.0,185.0,49.0,2
118,5.0,7.0,90.0,185.0,77.0,2
119,5.0,7.0,90.0,185.0,98.0,2
120,5.0,7.0,90.0,239.0,7.0,3
121,5.0,7.0,90.0,239.0,28.0,2
122,5.0,7.0,90.0,239.0,49.0,2
123,5.0,7.0,90.0,239.0,77.0,2
124,5.0,7.0,90.0,239.0,98.0,2
125,5.0,7.0,110.0,5.0,7.0,13
126,5.0,7.0,110.0,5.0,28.0,10
127,5.0,7.0,110.0,5.0,49.0,8
128,5.0,7.0,110.0,5.0,77.0,6
129,5.0,7.0,110.0,5.0,98.0,6
130,5.0,7.0,110.0,59.0,7.0,6
131,5.0,7.0,110.0,59.0,28.0,3
132,5.0,7.0,110.0,59.0,49.0,3
133,5.0,7.0,110.0,59.0,77.0,3
134,5.0,7.0,110.0,59.0,98.0,2
135,5.0,7.0,110.0,113.0,7.0,5
136,5.0,7.0,110.0,113.0,28.0,3
137,5.0,7.0,110.0,113.0,49.0,2
138,5.0,7.0,110.0,113.0,77.0,2
139,5.0,7.0,110.0,113.0,98.0,2
140,5.0,7.0,110.0,185.0,7.0,4
141,5.0,7.0,110.0,185.0,28.0,2
142,5.0,7.0,110.0,185.0,49.0,2
143,5.0,7.0,110.0,185.0,77.0,2
144,5.0,7.0,110.0,185.0,98.0,2
145,5.0,7.0,110.0,239.0,7.0,3
146,5.0,7.0,110.0,239.0,28.0,2
147,5.0,7.0,110.0,239.0,49.0,2
148,5.0,7.0,110.0,239.0,77.0,2
149,5.0,7.0,110.0,239.0,98.0,2
150,5.0,7.0,130.0,5.0,7.0,14
151,5.0,7.0,130.0,5.0,28.0,11
152,5.0,7.0,130.0,5.0,49.0,9
153,5.0,7.0,130.0,5.0,77.0,7
154,5.0,7.0,130.0,5.0,98.0,6
